case_id,invoice_id,activity,timestamp,system,role,user_id,invoice_amount,currency,country,vendor_id,vendor_risk,po_number,exception_type,status,is_hidden_step,hidden_issue_type
CASE-00001,INV-000001,Invoice received,2026-01-05T08:06:00,Coupa,System,system,16075.81,EUR,ES,V5012,low,PO334053,,completed,False,
CASE-00001,INV-000001,Validate invoice data,2026-01-05T08:30:00,Coupa,AP Clerk,ap05,16075.81,EUR,ES,V5012,low,PO334053,,completed,False,
CASE-00001,INV-000001,Check PO exists,2026-01-05T08:48:00,SAP,System,system,16075.81,EUR,ES,V5012,low,PO334053,,completed,False,
CASE-00001,INV-000001,Run three-way match,2026-01-05T09:18:00,SAP,System,system,16075.81,EUR,ES,V5012,low,PO334053,,completed,False,
CASE-00001,INV-000001,Run duplicate invoice check,2026-01-05T09:30:00,SAP,System,system,16075.81,EUR,ES,V5012,low,PO334053,,completed,False,
CASE-00001,INV-000001,Check vendor risk,2026-01-05T09:42:00,Vendor Master Data,System,system,16075.81,EUR,ES,V5012,low,PO334053,,completed,False,
CASE-00001,INV-000001,Check approval threshold,2026-01-05T09:48:00,SAP,System,system,16075.81,EUR,ES,V5012,low,PO334053,,completed,False,
CASE-00001,INV-000001,Finance manager approval,2026-01-05T23:25:12.255209,SAP,Finance Manager,ap05,16075.81,EUR,ES,V5012,low,PO334053,,completed,False,
CASE-00001,INV-000001,Schedule payment,2026-01-06T07:27:46.487506,Payment System,System,system,16075.81,EUR,ES,V5012,low,PO334053,,completed,False,
CASE-00001,INV-000001,Send remittance notice,2026-01-06T07:33:46.487506,Payment System,System,system,16075.81,EUR,ES,V5012,low,PO334053,,completed,False,
CASE-00001,INV-000001,Invoice paid,2026-01-06T07:39:46.487506,Payment System,System,system,16075.81,EUR,ES,V5012,low,PO334053,,paid,False,
CASE-00002,INV-000002,Invoice received,2026-01-05T08:13:00,Coupa,System,system,906.77,EUR,IT,V7873,low,PO331148,,completed,False,
CASE-00002,INV-000002,Validate invoice data,2026-01-05T08:37:00,Coupa,AP Clerk,ap15,906.77,EUR,IT,V7873,low,PO331148,,completed,False,
CASE-00002,INV-000002,Check PO exists,2026-01-05T08:55:00,SAP,System,system,906.77,EUR,IT,V7873,low,PO331148,,completed,False,
CASE-00002,INV-000002,Run three-way match,2026-01-05T09:25:00,SAP,System,system,906.77,EUR,IT,V7873,low,PO331148,,completed,False,
CASE-00002,INV-000002,Run duplicate invoice check,2026-01-05T09:37:00,SAP,System,system,906.77,EUR,IT,V7873,low,PO331148,,completed,False,
CASE-00002,INV-000002,Check vendor risk,2026-01-05T09:49:00,Vendor Master Data,System,system,906.77,EUR,IT,V7873,low,PO331148,,completed,False,
CASE-00002,INV-000002,Check approval threshold,2026-01-05T09:55:00,SAP,System,system,906.77,EUR,IT,V7873,low,PO331148,,completed,False,
CASE-00002,INV-000002,Auto approve for payment scheduling,2026-01-05T10:01:00,SAP,System,system,906.77,EUR,IT,V7873,low,PO331148,,completed,False,
CASE-00002,INV-000002,Schedule payment,2026-01-05T15:15:37.809595,Payment System,System,system,906.77,EUR,IT,V7873,low,PO331148,,completed,False,
CASE-00002,INV-000002,Send remittance notice,2026-01-05T15:21:37.809595,Payment System,System,system,906.77,EUR,IT,V7873,low,PO331148,,completed,False,
CASE-00002,INV-000002,Invoice paid,2026-01-05T15:27:37.809595,Payment System,System,system,906.77,EUR,IT,V7873,low,PO331148,,paid,False,
CASE-00003,INV-000003,Invoice received,2026-01-05T08:20:00,Coupa,System,system,23941.02,EUR,DE,V7224,low,PO201414,,completed,False,
CASE-00003,INV-000003,Validate invoice data,2026-01-05T08:44:00,Coupa,AP Clerk,ap12,23941.02,EUR,DE,V7224,low,PO201414,,completed,False,
CASE-00003,INV-000003,Check PO exists,2026-01-05T09:02:00,SAP,System,system,23941.02,EUR,DE,V7224,low,PO201414,,completed,False,
CASE-00003,INV-000003,Run three-way match,2026-01-05T09:32:00,SAP,System,system,23941.02,EUR,DE,V7224,low,PO201414,,completed,False,
CASE-00003,INV-000003,Run duplicate invoice check,2026-01-05T09:44:00,SAP,System,system,23941.02,EUR,DE,V7224,low,PO201414,,completed,False,
CASE-00003,INV-000003,Check vendor risk,2026-01-05T09:56:00,Vendor Master Data,System,system,23941.02,EUR,DE,V7224,low,PO201414,,completed,False,
CASE-00003,INV-000003,Check approval threshold,2026-01-05T10:02:00,SAP,System,system,23941.02,EUR,DE,V7224,low,PO201414,,completed,False,
CASE-00003,INV-000003,Finance manager approval,2026-01-06T06:41:19.845350,SAP,Finance Manager,ap12,23941.02,EUR,DE,V7224,low,PO201414,,completed,False,
CASE-00003,INV-000003,Schedule payment,2026-01-06T15:06:18.615531,Payment System,System,system,23941.02,EUR,DE,V7224,low,PO201414,,completed,False,
CASE-00003,INV-000003,Send remittance notice,2026-01-06T15:12:18.615531,Payment System,System,system,23941.02,EUR,DE,V7224,low,PO201414,,completed,False,
CASE-00003,INV-000003,Invoice paid,2026-01-06T15:18:18.615531,Payment System,System,system,23941.02,EUR,DE,V7224,low,PO201414,,paid,False,
CASE-00004,INV-000004,Invoice received,2026-01-05T08:27:00,Coupa,System,system,20777.77,EUR,ES,V4150,low,PO838797,,completed,False,
CASE-00004,INV-000004,Validate invoice data,2026-01-05T08:51:00,Coupa,AP Clerk,ap03,20777.77,EUR,ES,V4150,low,PO838797,,completed,False,
CASE-00004,INV-000004,Check PO exists,2026-01-05T09:09:00,SAP,System,system,20777.77,EUR,ES,V4150,low,PO838797,,completed,False,
CASE-00004,INV-000004,Run three-way match,2026-01-05T09:39:00,SAP,System,system,20777.77,EUR,ES,V4150,low,PO838797,,completed,False,
CASE-00004,INV-000004,Classify exception,2026-01-05T09:51:00,ServiceNow,AP Clerk,ap03,20777.77,EUR,ES,V4150,low,PO838797,price_mismatch,completed,False,
CASE-00004,INV-000004,Create price mismatch ticket,2026-01-05T10:03:00,ServiceNow,System,system,20777.77,EUR,ES,V4150,low,PO838797,price_mismatch,completed,False,
