case_id,invoice_id,activity,timestamp,system,role,user_id,invoice_amount,currency,country,vendor_id,vendor_risk,po_number,exception_type,status,is_hidden_step,hidden_issue_type
CASE-00001,INV-000001,Invoice received,2026-01-05T08:06:00,Coupa,System,system,12564.03,EUR,NL,V8752,low,PO904155,,completed,False,
CASE-00001,INV-000001,Validate invoice data,2026-01-05T08:30:00,Coupa,AP Clerk,ap11,12564.03,EUR,NL,V8752,low,PO904155,,completed,False,
CASE-00001,INV-000001,Check PO exists,2026-01-05T08:48:00,SAP,System,system,12564.03,EUR,NL,V8752,low,PO904155,,completed,False,
CASE-00001,INV-000001,Run three-way match,2026-01-05T09:18:00,SAP,System,system,12564.03,EUR,NL,V8752,low,PO904155,,completed,False,
CASE-00001,INV-000001,Classify exception,2026-01-05T09:30:00,ServiceNow,AP Clerk,ap11,12564.03,EUR,NL,V8752,low,PO904155,price_mismatch,completed,False,
CASE-00001,INV-000001,Create price mismatch ticket,2026-01-05T09:42:00,ServiceNow,System,system,12564.03,EUR,NL,V8752,low,PO904155,price_mismatch,completed,False,
CASE-00001,INV-000001,AP review price mismatch,2026-01-11T23:04:53.935498,ServiceNow,AP Clerk,ap11,12564.03,EUR,NL,V8752,low,PO904155,price_mismatch,completed,False,
CASE-00001,INV-000001,Correction for price mismatch,2026-01-12T06:51:39.702547,SAP,Procurement Specialist,ap11,12564.03,EUR,NL,V8752,low,PO904155,price_mismatch,completed,False,
CASE-00001,INV-000001,Run three-way match,2026-01-12T07:15:39.702547,SAP,System,system,12564.03,EUR,NL,V8752,low,PO904155,price_mismatch,completed,False,
CASE-00001,INV-000001,Run duplicate invoice check,2026-01-12T07:27:39.702547,SAP,System,system,12564.03,EUR,NL,V8752,low,PO904155,,completed,False,
CASE-00001,INV-000001,Check vendor risk,2026-01-12T07:39:39.702547,Vendor Master Data,System,system,12564.03,EUR,NL,V8752,low,PO904155,,completed,False,
CASE-00001,INV-000001,Check approval threshold,2026-01-12T07:45:39.702547,SAP,System,system,12564.03,EUR,NL,V8752,low,PO904155,,completed,False,
CASE-00001,INV-000001,Finance manager approval,2026-01-14T06:32:43.942201,SAP,Finance Manager,ap11,12564.03,EUR,NL,V8752,low,PO904155,,completed,False,
CASE-00001,INV-000001,Schedule payment,2026-01-14T13:10:36.815004,Payment System,System,system,12564.03,EUR,NL,V8752,low,PO904155,,completed,False,
CASE-00001,INV-000001,Send remittance notice,2026-01-14T13:16:36.815004,Payment System,System,system,12564.03,EUR,NL,V8752,low,PO904155,,completed,False,
CASE-00001,INV-000001,Invoice paid,2026-01-14T13:22:36.815004,Payment System,System,system,12564.03,EUR,NL,V8752,low,PO904155,,paid,False,
CASE-00002,INV-000002,Invoice received,2026-01-05T08:13:00,Coupa,System,system,15193.67,EUR,DE,V2048,low,PO826818,,completed,False,
CASE-00002,INV-000002,Validate invoice data,2026-01-05T08:37:00,Coupa,AP Clerk,ap20,15193.67,EUR,DE,V2048,low,PO826818,,completed,False,
CASE-00002,INV-000002,Check PO exists,2026-01-05T08:55:00,SAP,System,system,15193.67,EUR,DE,V2048,low,PO826818,,completed,False,
CASE-00002,INV-000002,Run three-way match,2026-01-05T09:25:00,SAP,System,system,15193.67,EUR,DE,V2048,low,PO826818,,completed,False,
CASE-00002,INV-000002,Run duplicate invoice check,2026-01-05T09:37:00,SAP,System,system,15193.67,EUR,DE,V2048,low,PO826818,,completed,False,
CASE-00002,INV-000002,Check vendor risk,2026-01-05T09:49:00,Vendor Master Data,System,system,15193.67,EUR,DE,V2048,low,PO826818,,completed,False,
CASE-00002,INV-000002,Check approval threshold,2026-01-05T09:55:00,SAP,System,system,15193.67,EUR,DE,V2048,low,PO826818,,completed,False,
CASE-00002,INV-000002,Finance manager approval,2026-01-07T06:50:14.726663,SAP,Finance Manager,ap20,15193.67,EUR,DE,V2048,low,PO826818,,completed,False,
CASE-00002,INV-000002,Schedule payment,2026-01-07T16:26:16.624677,Payment System,System,system,15193.67,EUR,DE,V2048,low,PO826818,,completed,False,
CASE-00002,INV-000002,Send remittance notice,2026-01-07T16:32:16.624677,Payment System,System,system,15193.67,EUR,DE,V2048,low,PO826818,,completed,False,
CASE-00002,INV-000002,Invoice paid,2026-01-07T16:38:16.624677,Payment System,System,system,15193.67,EUR,DE,V2048,low,PO826818,,paid,False,
CASE-00003,INV-000003,Invoice received,2026-01-05T08:20:00,Coupa,System,system,2868.43,EUR,ES,V8536,medium,PO232771,,completed,False,
CASE-00003,INV-000003,Validate invoice data,2026-01-05T08:44:00,Coupa,AP Clerk,ap09,2868.43,EUR,ES,V8536,medium,PO232771,,completed,False,
CASE-00003,INV-000003,Check PO exists,2026-01-05T09:02:00,SAP,System,system,2868.43,EUR,ES,V8536,medium,PO232771,,completed,False,
CASE-00003,INV-000003,Run three-way match,2026-01-05T09:32:00,SAP,System,system,2868.43,EUR,ES,V8536,medium,PO232771,,completed,False,
CASE-00003,INV-000003,Run duplicate invoice check,2026-01-05T09:44:00,SAP,System,system,2868.43,EUR,ES,V8536,medium,PO232771,,completed,False,
CASE-00003,INV-000003,Check vendor risk,2026-01-05T09:56:00,Vendor Master Data,System,system,2868.43,EUR,ES,V8536,medium,PO232771,,completed,False,
CASE-00003,INV-000003,Check approval threshold,2026-01-05T10:02:00,SAP,System,system,2868.43,EUR,ES,V8536,medium,PO232771,,completed,False,
CASE-00003,INV-000003,Auto approve for payment scheduling,2026-01-05T10:08:00,SAP,System,system,2868.43,EUR,ES,V8536,medium,PO232771,,completed,False,
CASE-00003,INV-000003,Schedule payment,2026-01-05T15:04:25.059540,Payment System,System,system,2868.43,EUR,ES,V8536,medium,PO232771,,completed,False,
CASE-00003,INV-000003,Send remittance notice,2026-01-05T15:10:25.059540,Payment System,System,system,2868.43,EUR,ES,V8536,medium,PO232771,,completed,False,
CASE-00003,INV-000003,Invoice paid,2026-01-05T15:16:25.059540,Payment System,System,system,2868.43,EUR,ES,V8536,medium,PO232771,,paid,False,
CASE-00004,INV-000004,Invoice received,2026-01-05T08:27:00,Coupa,System,system,24728.42,EUR,IT,V9128,medium,PO547655,,completed,False,
CASE-00004,INV-000004,Validate invoice data,2026-01-05T08:51:00,Coupa,AP Clerk,ap17,24728.42,EUR,IT,V9128,medium,PO547655,,completed,False,
CASE-00004,INV-000004,Check PO exists,2026-01-05T09:09:00,SAP,System,system,24728.42,EUR,IT,V9128,medium,PO547655,,completed,False,
CASE-00004,INV-000004,Run three-way match,2026-01-05T09:39:00,SAP,System,system,24728.42,EUR,IT,V9128,medium,PO547655,,completed,False,
CASE-00004,INV-000004,Run duplicate invoice check,2026-01-05T09:51:00,SAP,System,system,24728.42,EUR,IT,V9128,medium,PO547655,,completed,False,
CASE-00004,INV-000004,Check vendor risk,2026-01-05T10:03:00,Vendor Master Data,System,system,24728.42,EUR,IT,V9128,medium,PO547655,,completed,False,
CASE-00004,INV-000004,Check approval threshold,2026-01-05T10:09:00,SAP,System,system,24728.42,EUR,IT,V9128,medium,PO547655,,completed,False,
CASE-00004,INV-000004,Finance manager approval,2026-01-06T06:19:49.963439,SAP,Finance Manager,ap17,24728.42,EUR,IT,V9128,medium,PO547655,,completed,False,
CASE-00004,INV-000004,Schedule payment,2026-01-06T14:27:51.805584,Payment System,System,system,24728.42,EUR,IT,V9128,medium,PO547655,,completed,False,
CASE-00004,INV-000004,Send remittance notice,2026-01-06T14:33:51.805584,Payment System,System,system,24728.42,EUR,IT,V9128,medium,PO547655,,completed,False,
